BlockId,RootCause,Label
blk_573218235,Normal,Normal
blk_502771479,Normal,Normal
blk_874760760,Normal,Normal
blk_848541298,Network Issue,Anomaly
blk_271872661,Normal,Normal
blk_261165217,Memory Overflow,Anomaly
blk_453687841,Normal,Normal
blk_890665140,Normal,Normal
blk_159634280,Normal,Normal
blk_375840999,Normal,Normal
blk_456831826,Normal,Normal
blk_102978347,Security Attack,Anomaly
blk_371721966,Normal,Normal
blk_646687767,Memory Overflow,Anomaly
blk_739569210,Normal,Normal
blk_883829476,Normal,Normal
blk_459428104,Normal,Normal
blk_766859689,Normal,Normal
blk_525304910,Network Issue,Anomaly
blk_589459482,Normal,Normal
blk_980571224,Normal,Normal
blk_296746621,Normal,Normal
blk_610652276,Normal,Normal
blk_764518938,Normal,Normal
blk_455384751,Normal,Normal
blk_239334912,Normal,Normal
blk_381082317,Network Issue,Anomaly
blk_698677231,Normal,Normal
blk_804507320,Normal,Normal
blk_166261802,Normal,Normal
blk_894824510,Normal,Normal
blk_123896808,Normal,Normal
blk_546382769,Normal,Normal
blk_424324160,Network Issue,Anomaly
blk_625518828,Memory Overflow,Anomaly
blk_528685673,Normal,Normal
blk_186048028,Normal,Normal
blk_296050268,Normal,Normal
blk_148298804,Normal,Normal
blk_446540657,Normal,Normal
blk_110409880,Normal,Normal
blk_574344193,Normal,Normal
blk_852605695,Normal,Normal
blk_247296460,Normal,Normal
blk_451250825,Application Crash,Anomaly
blk_692220958,Normal,Normal
blk_875711192,Normal,Normal
blk_908195825,Normal,Normal
blk_208457264,Normal,Normal
blk_583916406,Normal,Normal
blk_167384861,Normal,Normal
blk_647563091,Normal,Normal
blk_119336086,Normal,Normal
blk_519008747,Normal,Normal
blk_578870501,Normal,Normal
blk_685800125,Normal,Normal
blk_200133802,Normal,Normal
blk_351900361,Normal,Normal
blk_648271107,Normal,Normal
blk_391526256,Memory Overflow,Anomaly
blk_419668990,Normal,Normal
blk_465595508,Normal,Normal
blk_693061602,Normal,Normal
blk_787631864,Network Issue,Anomaly
blk_699756339,Normal,Normal
blk_401156498,Normal,Normal
blk_255683478,Normal,Normal
blk_748997756,Application Crash,Anomaly
blk_537916685,Normal,Normal
blk_704865595,Normal,Normal
blk_213620803,Normal,Normal
blk_397790900,Normal,Normal
blk_189019777,Normal,Normal
blk_622257257,Normal,Normal
blk_918498189,Normal,Normal
blk_986183140,Normal,Normal
blk_578287109,Normal,Normal
blk_450364124,Normal,Normal
blk_378560528,Normal,Normal
blk_436534954,Normal,Normal
blk_202044730,Security Attack,Anomaly
blk_938845585,Normal,Normal
blk_303287726,Normal,Normal
blk_513794113,Security Attack,Anomaly
blk_195287955,Normal,Normal
blk_778643926,Normal,Normal
blk_802362448,Security Attack,Anomaly
blk_115257499,Normal,Normal
blk_759998304,Normal,Normal
blk_267258368,Normal,Normal
blk_563727861,Normal,Normal
blk_962763254,Normal,Normal
blk_748724166,Normal,Normal
blk_269376971,Normal,Normal
blk_641533780,Application Crash,Anomaly
blk_175670131,Normal,Normal
blk_312084046,Disk Failure,Anomaly
blk_687119803,Normal,Normal
blk_303687128,Normal,Normal
blk_315414678,Normal,Normal
blk_367156260,Normal,Normal
blk_876849662,Normal,Normal
blk_913926333,Normal,Normal
blk_848516654,Normal,Normal
blk_701615360,Normal,Normal
blk_601989547,Normal,Normal
blk_638268604,Normal,Normal
blk_552208996,Normal,Normal
blk_705239679,Normal,Normal
blk_398967222,Normal,Normal
blk_955818099,Normal,Normal
blk_230645427,Normal,Normal
blk_255647902,Normal,Normal
blk_462414803,Disk Failure,Anomaly
blk_960272127,Normal,Normal
blk_951233289,Normal,Normal
blk_706084707,Normal,Normal
blk_973273966,Memory Overflow,Anomaly
blk_173334236,Normal,Normal
blk_231892206,Normal,Normal
blk_882460484,Normal,Normal
blk_966125548,Normal,Normal
blk_336124123,Memory Overflow,Anomaly
blk_504432010,Normal,Normal
blk_798425678,Normal,Normal
blk_991483625,Normal,Normal
blk_233951886,Normal,Normal
blk_311751721,Normal,Normal
blk_123076676,Normal,Normal
blk_442545846,Normal,Normal
blk_499647665,Normal,Normal
blk_663401818,Normal,Normal
blk_317411073,Application Crash,Anomaly
blk_446210468,Normal,Normal
blk_789228275,Normal,Normal
blk_627263365,Disk Failure,Anomaly
blk_939441323,Normal,Normal
blk_151922620,Security Attack,Anomaly
blk_617612713,Normal,Normal
blk_594193750,Normal,Normal
blk_650657017,Network Issue,Anomaly
blk_119408425,Memory Overflow,Anomaly
blk_420692659,Normal,Normal
blk_561450855,Normal,Normal
blk_200188949,Normal,Normal
blk_748461556,Normal,Normal
blk_614652305,Memory Overflow,Anomaly
blk_856601790,Normal,Normal
blk_199405893,Normal,Normal
blk_912822529,Disk Failure,Anomaly
blk_728618100,Normal,Normal
blk_252246766,Normal,Normal
blk_235636920,Normal,Normal
blk_192777225,Normal,Normal
blk_287818753,Memory Overflow,Anomaly
blk_521644787,Normal,Normal
blk_675440814,Normal,Normal
blk_719722709,Normal,Normal
blk_592387425,Normal,Normal
blk_409276605,Normal,Normal
blk_482713918,Network Issue,Anomaly
blk_188459111,Normal,Normal
blk_203912163,Normal,Normal
blk_854646818,Normal,Normal
blk_348446583,Normal,Normal
blk_525411176,Normal,Normal
blk_390587522,Normal,Normal
blk_323726303,Normal,Normal
blk_523818394,Normal,Normal
blk_309426422,Normal,Normal
blk_469532075,Normal,Normal
blk_615051640,Normal,Normal
blk_934876590,Normal,Normal
blk_958860282,Normal,Normal
blk_662475145,Normal,Normal
blk_896589426,Normal,Normal
blk_329054588,Normal,Normal
blk_649940616,Normal,Normal
blk_654919105,Normal,Normal
blk_113488771,Memory Overflow,Anomaly
blk_773018161,Normal,Normal
blk_584320305,Normal,Normal
blk_378414257,Normal,Normal
blk_231470875,Normal,Normal
blk_301900340,Memory Overflow,Anomaly
blk_170564132,Normal,Normal
blk_736870357,Normal,Normal
blk_144773731,Application Crash,Anomaly
blk_818361645,Security Attack,Anomaly
blk_310825731,Normal,Normal
blk_466989355,Normal,Normal
blk_466862036,Normal,Normal
blk_687960349,Normal,Normal
blk_791633794,Normal,Normal
blk_778844829,Disk Failure,Anomaly
blk_972751066,Normal,Normal
blk_196566636,Normal,Normal
blk_876575180,Normal,Normal
blk_722445696,Normal,Normal
blk_504312453,Normal,Normal
blk_380696666,Normal,Normal
blk_129549184,Normal,Normal
blk_488852529,Normal,Normal
blk_574867297,Disk Failure,Anomaly
blk_328491088,Normal,Normal
blk_741654631,Normal,Normal
blk_255953381,Normal,Normal
blk_517556209,Normal,Normal
blk_636349615,Normal,Normal
blk_398619504,Network Issue,Anomaly
blk_334140485,Normal,Normal
blk_255201982,Normal,Normal
