LogId,BlockId,Timestamp,Level,Server,Component,PID,Message,FullLog,RootCause,Label
LOG0000001,blk_573218235,2024-01-01 00:00:01,INFO,web-02,nginx,10626,Cache refresh completed,2024-01-01 00:00:01 INFO [web-02] nginx[10626]: Cache refresh completed,Normal,0
LOG0000002,blk_502771479,2024-01-01 00:00:08,INFO,web-01,kernel,35569,API request processed 200 OK,2024-01-01 00:00:08 INFO [web-01] kernel[35569]: API request processed 200 OK,Normal,0
LOG0000003,blk_874760760,2024-01-01 00:00:13,INFO,web-01,systemd,29473,User login successful,2024-01-01 00:00:13 INFO [web-01] systemd[29473]: User login successful,Normal,0
LOG0000004,blk_848541298,2024-01-01 00:00:15,ERROR,server-02,nginx,54215,Network interface eth1 link down,2024-01-01 00:00:15 ERROR [server-02] nginx[54215]: Network interface eth1 link down,Network Issue,1
LOG0000005,blk_271872661,2024-01-01 00:00:24,INFO,app-server,cron,6917,Backup completed successfully,2024-01-01 00:00:24 INFO [app-server] cron[6917]: Backup completed successfully,Normal,0
LOG0000006,blk_261165217,2024-01-01 00:00:26,ERROR,server-01,kernel,22522,Swap usage at 100 percent,2024-01-01 00:00:26 ERROR [server-01] kernel[22522]: Swap usage at 100 percent,Memory Overflow,1
LOG0000007,blk_453687841,2024-01-01 00:00:30,DEBUG,cache-01,cron,49224,Cache refresh completed,2024-01-01 00:00:30 DEBUG [cache-01] cron[49224]: Cache refresh completed,Normal,0
LOG0000008,blk_890665140,2024-01-01 00:00:35,INFO,web-01,kernel,12109,Memory usage normal 45 percent,2024-01-01 00:00:35 INFO [web-01] kernel[12109]: Memory usage normal 45 percent,Normal,0
LOG0000009,blk_159634280,2024-01-01 00:00:40,DEBUG,db-replica,kernel,54957,API request processed 200 OK,2024-01-01 00:00:40 DEBUG [db-replica] kernel[54957]: API request processed 200 OK,Normal,0
LOG0000010,blk_375840999,2024-01-01 00:00:48,INFO,cache-01,systemd,12347,User login successful,2024-01-01 00:00:48 INFO [cache-01] systemd[12347]: User login successful,Normal,0
LOG0000011,blk_456831826,2024-01-01 00:00:52,INFO,web-02,cron,59747,Network throughput normal,2024-01-01 00:00:52 INFO [web-02] cron[59747]: Network throughput normal,Normal,0
LOG0000012,blk_102978347,2024-01-01 00:00:59,ERROR,db-primary,sshd,37042,Port scan detected from remote host,2024-01-01 00:00:59 ERROR [db-primary] sshd[37042]: Port scan detected from remote host,Security Attack,1
LOG0000013,blk_371721966,2024-01-01 00:01:00,DEBUG,server-02,sshd,22280,Backup completed successfully,2024-01-01 00:01:00 DEBUG [server-02] sshd[22280]: Backup completed successfully,Normal,0
LOG0000014,blk_646687767,2024-01-01 00:01:09,ERROR,server-02,sshd,62385,Process killed memory limit reached,2024-01-01 00:01:09 ERROR [server-02] sshd[62385]: Process killed memory limit reached,Memory Overflow,1
